,GR,DT,DRES,DEN,Depth,COND,CAL,Zone_Tertiary,Zone_Paleocene,Zone_Chalk,Zone_Jurassic
2998,53.7091,118.3038,0.6473,2.4149,8087.5,1544.8787,8.3434,0,1,0,0
2999,53.7635,117.0855,0.6644,2.4251,8088.0,1505.1174,8.3473,0,1,0,0
3000,53.8058,116.0532,0.6525,2.4331,8088.5,1532.5671,8.3659,0,1,0,0
3001,54.7229,115.5162,0.6378,2.4391,8089.0,1567.8896,8.3814,0,1,0,0
3002,55.651,115.5162,0.6166,2.4399,8089.5,1621.797,8.346,0,1,0,0
3003,57.1621,116.3746,0.5954,2.437,8090.0,1679.5432,8.3552,0,1,0,0
3004,58.6707,116.5954,0.5808,2.4339,8090.5,1721.7631,8.3658,0,1,0,0
3005,59.9933,116.3668,0.5819,2.4251,8091.0,1718.5083,8.3764,0,1,0,0
3006,58.1042,116.035,0.6032,2.4057,8091.5,1657.8248,8.384,0,1,0,0
3007,56.06,115.311,0.6267,2.3989,8092.0,1595.6598,8.3712,0,1,0,0
3008,55.3303,114.1877,0.6403,2.4025,8092.5,1561.7679,8.3329,0,1,0,0
3009,57.6946,112.0349,0.6376,2.4354,8093.0,1568.3815,8.3023,0,1,0,0
3010,63.784,110.0518,0.6302,2.4677,8093.5,1586.7977,8.3013,0,1,0,0
3011,69.9801,108.6141,0.6517,2.4814,8094.0,1534.4484,8.3008,0,1,0,0
3012,74.3755,108.1431,0.6955,2.4938,8094.5,1437.8145,8.3014,0,1,0,0
3013,77.5677,109.5333,0.6781,2.4793,8095.0,1474.7087,8.3014,0,1,0,0
3014,79.3205,111.0623,0.6382,2.4508,8095.5,1566.9070000000004,8.3036,0,1,0,0
3015,80.7741,113.6187,0.6035,2.41,8096.0,1657.0009,8.3268,0,1,0,0
3016,81.2521,115.5028,0.5688,2.4102,8096.5,1758.0873,8.3492,0,1,0,0
3017,79.5712,117.1761,0.5948,2.4155,8097.0,1681.2374,8.341000000000001,0,1,0,0
3018,75.2723,118.0547,0.6108,2.4189,8097.5,1637.197,8.3447,0,1,0,0
3019,70.2206,117.7575,0.6253,2.4171,8098.0,1599.2324,8.3538,0,1,0,0
3020,66.4894,117.3118,0.6214,2.416,8098.5,1609.2694,8.3628,0,1,0,0
3021,65.4779,117.1671,0.6113,2.4158,8099.0,1635.858,8.3725,0,1,0,0
3022,66.6967,115.9347,0.5978,2.4172,8099.5,1672.8002,8.3736,0,1,0,0
