,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS,Zone_Chalk,Zone_Jurassic,Zone_Paleocene,Zone_Tertiary
2984,22-12a-10,8080.5,60.9892,8.3419,0.5516,1812.908,116.2429,2.421,262.0905,0,0,1,0
2985,22-12a-10,8081.0,61.1802,8.3414,0.5385,1857.0101,113.7691,2.421,258.7559,0,0,1,0
2986,22-12a-10,8081.5,59.6292,8.3627,0.5859,1706.7759,113.4365,2.421,254.5162,0,0,1,0
2987,22-12a-10,8082.0,57.81800000000001,8.3814,0.6593,1516.7601,113.69,2.4156,252.1637,0,0,1,0
2988,22-12a-10,8082.5,56.1807,8.3414,0.5999,1666.9445,114.7381,2.4082,253.5485,0,0,1,0
2989,22-12a-10,8083.0,57.4406,8.3409,0.5589,1789.2289,116.634,2.3977,261.6936,0,0,1,0
2990,22-12a-10,8083.5,58.6637,8.3408,0.5606,1783.8031,118.5704,2.3967,270.8941,0,0,1,0
2991,22-12a-10,8084.0,60.4764,8.3413,0.5519,1811.9224,120.3463,2.4014,278.4436,0,0,1,0
2992,22-12a-10,8084.5,62.2615,8.3416,0.5642,1772.4211,121.7348,2.4081,279.825,0,0,1,0
2993,22-12a-10,8085.0,63.6776,8.3433,0.5565,1796.9452,121.9159,2.4149,279.5954,0,0,1,0
2994,22-12a-10,8085.5,63.589,8.3814,0.5670000000000001,1763.6685,120.8788,2.4159,276.6226,0,0,1,0
2995,22-12a-10,8086.0,62.2727,8.3817,0.5392,1854.5994,120.1364,2.4104,271.0372,0,0,1,0
2996,22-12a-10,8086.5,59.2398,8.3821,0.5461,1831.1664,119.832,2.4064,264.1448,0,0,1,0
2997,22-12a-10,8087.0,56.2546,8.3694,0.597,1675.0419,119.5221,2.4071,258.1551,0,0,1,0
2998,22-12a-10,8087.5,53.7091,8.3434,0.6473,1544.8787,118.3038,2.4149,254.1422,0,0,1,0
2999,22-12a-10,8088.0,53.7635,8.3473,0.6644,1505.1174,117.0855,2.4251,251.5798,0,0,1,0
3000,22-12a-10,8088.5,53.8058,8.3659,0.6525,1532.5671,116.0532,2.4331,251.9468,0,0,1,0
3001,22-12a-10,8089.0,54.7229,8.3814,0.6378,1567.8896,115.5162,2.4391,253.0489,0,0,1,0
3002,22-12a-10,8089.5,55.651,8.346,0.6166,1621.797,115.5162,2.4399,255.5886,0,0,1,0
3003,22-12a-10,8090.0,57.1621,8.3552,0.5954,1679.5432,116.3746,2.437,256.5351,0,0,1,0
3004,22-12a-10,8090.5,58.6707,8.3658,0.5808,1721.7631,116.5954,2.4339,257.1438,0,0,1,0
3005,22-12a-10,8091.0,59.9933,8.3764,0.5819,1718.5083,116.3668,2.4251,256.3811,0,0,1,0
3006,22-12a-10,8091.5,58.1042,8.384,0.6032,1657.8248,116.035,2.4057,253.5495,0,0,1,0
3007,22-12a-10,8092.0,56.06,8.3712,0.6267,1595.6598,115.311,2.3989,250.9864,0,0,1,0
3008,22-12a-10,8092.5,55.3303,8.3329,0.6403,1561.7679,114.1877,2.4025,247.854,0,0,1,0
3009,22-12a-10,8093.0,57.6946,8.3023,0.6376,1568.3815,112.0349,2.4354,244.7757,0,0,1,0
3010,22-12a-10,8093.5,63.784,8.3013,0.6302,1586.7977,110.0518,2.4677,241.775,0,0,1,0
3011,22-12a-10,8094.0,69.9801,8.3008,0.6517,1534.4484,108.6141,2.4814,241.3767,0,0,1,0
3012,22-12a-10,8094.5,74.3755,8.3014,0.6955,1437.8145,108.1431,2.4938,243.4671,0,0,1,0
3013,22-12a-10,8095.0,77.5677,8.3014,0.6781,1474.7087,109.5333,2.4793,246.7503,0,0,1,0
3014,22-12a-10,8095.5,79.3205,8.3036,0.6382,1566.9070000000004,111.0623,2.4508,248.131,0,0,1,0
3015,22-12a-10,8096.0,80.7741,8.3268,0.6035,1657.0009,113.6187,2.41,250.6005,0,0,1,0
3016,22-12a-10,8096.5,81.2521,8.3492,0.5688,1758.0873,115.5028,2.4102,253.6367,0,0,1,0
3017,22-12a-10,8097.0,79.5712,8.341000000000001,0.5948,1681.2374,117.1761,2.4155,255.5646,0,0,1,0
3018,22-12a-10,8097.5,75.2723,8.3447,0.6108,1637.197,118.0547,2.4189,255.8263,0,0,1,0
3019,22-12a-10,8098.0,70.2206,8.3538,0.6253,1599.2324,117.7575,2.4171,254.7264,0,0,1,0
3020,22-12a-10,8098.5,66.4894,8.3628,0.6214,1609.2694,117.3118,2.416,254.278,0,0,1,0
3021,22-12a-10,8099.0,65.4779,8.3725,0.6113,1635.858,117.1671,2.4158,251.327,0,0,1,0
3022,22-12a-10,8099.5,66.6967,8.3736,0.5978,1672.8002,115.9347,2.4172,247.0485,0,0,1,0
3023,22-12a-10,8100.0,67.1989,8.3544,0.6012,1663.3401,113.6798,2.4289,241.8987,0,0,1,0
3024,22-12a-10,8100.5,66.2597,8.3416,0.7108,1406.8655,110.7593,2.4641,238.2635,0,0,1,0
3025,22-12a-10,8101.0,65.4949,8.3415,0.8338,1199.3284,108.6479,2.5404,235.8002,0,0,1,0
3026,22-12a-10,8101.5,67.5264,8.342,0.9056,1104.2402,108.2224,2.6414,234.7192,0,0,1,0
3027,22-12a-10,8102.0,72.6868,8.3415,0.7694,1299.7141,108.5269,2.6094,236.6646,0,0,1,0
3028,22-12a-10,8102.5,77.21600000000002,8.3423,0.6729,1486.1049,110.4217,2.5211,240.0938,0,0,1,0
3029,22-12a-10,8103.0,76.5023,8.3557,0.6662,1501.0508,113.3277,2.4239,245.3899,0,0,1,0
3030,22-12a-10,8103.5,70.4468,8.3819,0.6809999999999999,1468.4288,113.6683,2.4029,251.1836,0,0,1,0
3031,22-12a-10,8104.0,65.4045,8.3955,0.6726,1486.7678,113.6683,2.4374,256.5376,0,0,1,0
