,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS
14876,22-14b-5,9456.0,56.7198,12.1412,1.9826,504.3882,80.5583,2.5622,140.5727
14877,22-14b-5,9456.5,64.7704,12.1589,2.3301,429.1661,80.6324,2.5713,139.7094
14878,22-14b-5,9457.0,74.2216,12.173,2.3465,426.1667,80.8064,2.5056,138.6639
14879,22-14b-5,9457.5,76.7967,12.1307,1.9889,502.7905,85.0105,2.4538,136.5953
14880,22-14b-5,9458.0,73.3267,12.1095,1.8077,553.1891,85.85799999999998,2.4488,137.7951
14881,22-14b-5,9458.5,64.5384,12.0813,1.6021,624.1808,86.9273,2.3496,138.6965
14882,22-14b-5,9459.0,54.5113,12.0178,1.423,702.7407,87.6067,2.3403,139.4612
14883,22-14b-5,9459.5,47.5579,12.0107,1.2916,774.2335,88.6372,2.3252,140.418
14884,22-14b-5,9460.0,44.7436,12.0777,1.2328,811.1616,88.28399999999998,2.3717,141.6136
14885,22-14b-5,9460.5,49.3521,12.1095,1.2988,769.9415,87.5869,2.3746,140.9287
14886,22-14b-5,9461.0,52.4876,12.1095,1.3599,735.3482,86.3174,2.4095,139.8302
14887,22-14b-5,9461.5,53.6388,12.0883,1.4043,712.0986,85.8582,2.3846,139.8328
14888,22-14b-5,9462.0,53.2809,12.0566,1.4484,690.4169999999998,85.3071,2.3684,146.6606
14889,22-14b-5,9462.5,53.7096,12.046,1.4121,708.1652,84.5868,2.3553,146.9223
14890,22-14b-5,9463.0,52.2374,12.0389,1.3485,741.5647,85.0349,2.3428,148.9059
14891,22-14b-5,9463.5,48.4155,12.0601,1.3228,755.9722,85.3302,2.3186,149.9525
14892,22-14b-5,9464.0,46.8079,12.0531,1.2855,777.9074,83.7379,2.3488,151.7886
14893,22-14b-5,9464.5,47.0219,12.0531,1.3412,745.6010000000001,83.5612,2.3971,154.2655
14894,22-14b-5,9465.0,47.0996,12.0672,1.5625,640.0,83.6251,2.3823,154.4215
14895,22-14b-5,9465.5,48.8144,12.0742,1.6771,596.2674,82.6249,2.5335,153.4987
14896,22-14b-5,9466.0,59.2417,12.0672,1.962,509.684,81.8842,2.582,151.7762
14897,22-14b-5,9466.5,68.8097,12.0672,2.3574,424.1962,80.9923,2.5641,150.1535
14898,22-14b-5,9467.0,75.9427,12.0883,2.6415,378.5728,79.8864,2.5143,140.4305
14899,22-14b-5,9467.5,73.4739,12.0813,2.6224,381.3301,79.4441,2.5324,138.5673
14900,22-14b-5,9468.0,70.9662,12.0777,2.4085,415.1962,79.4765,2.5247,137.6027
14901,22-14b-5,9468.5,67.0484,12.0883,2.1523,464.6193,79.4031,2.5074,131.9728
14902,22-14b-5,9469.0,64.8665,12.1024,1.9521,512.2688,79.0751,2.4903,138.4847
14903,22-14b-5,9469.5,63.9843,12.0813,1.8091,552.761,79.1468,2.4761,138.1826
14904,22-14b-5,9470.0,61.8046,12.0813,1.6977,589.0322,80.3326,2.4768,133.5043
14905,22-14b-5,9470.5,60.9488,12.0813,1.6235,615.9532,78.8257,2.4905,129.2218
14906,22-14b-5,9471.0,56.6221,12.0883,1.5065,663.7902,77.7243,2.4799,128.8168
14907,22-14b-5,9471.5,55.0507,12.1024,1.3746,727.4843,76.5877,2.4992,126.4759
14908,22-14b-5,9472.0,53.7671,12.0883,1.3092,763.8252,75.6894,2.5138,124.7492
14909,22-14b-5,9472.5,54.0551,12.0742,1.2949,772.2604,75.5524,2.5032,124.0063
14910,22-14b-5,9473.0,53.5244,12.0813,1.1986,834.3066,78.0027,2.4937,124.3808
14911,22-14b-5,9473.5,48.0332,12.0566,0.9525,1049.8688,79.6584,2.3559,129.1901
14912,22-14b-5,9474.0,42.8642,11.9896,0.797,1254.7052,79.8096,2.2842,131.0551
14913,22-14b-5,9474.5,37.2642,12.0037,0.7337,1362.955,82.73,2.2843,133.5707
14914,22-14b-5,9475.0,37.5382,12.0037,0.6823,1465.631,83.4752,2.2865,136.6061
14915,22-14b-5,9475.5,38.5353,12.0037,0.675,1481.4814,85.3963,2.3305,137.83
14916,22-14b-5,9476.0,37.5926,12.0178,0.6773,1476.4507,85.3504,2.3104,135.1727
14917,22-14b-5,9476.5,35.3419,12.0178,0.6802,1470.1559,83.0936,2.3309,137.3032
